Library,Symbol,Value,Description,Footprint,Datasheet
Regulator_Linear,APE8865NR-24-HF-3,APE8865NR-24-HF-3,"300mA Low Dropout Voltage Regulator, Fixed Output 2.4V, SOT-23",Package_TO_SOT_SMD:SOT-23,http://www.tme.eu/fr/Document/ced3461ed31ea70a3c416fb648e0cde7/APE8865-3.pdf
Regulator_Linear,AP7384-70Y,AP7384-70Y,"50mA Low Dropout Voltage Regulator, Fixed Output 7V, Wide Input Voltage Range 40V, SOT-89-3",Package_TO_SOT_SMD:SOT-89-3,https://www.diodes.com/assets/Datasheets/AP7384.pdf
Regulator_Linear,AP7361C-28E,AP7361C-28E,"1A Low Dropout regulator, positive, 2.8V fixed output, SOT-223",Package_TO_SOT_SMD:SOT-223-3_TabPin2,https://www.diodes.com/assets/Datasheets/AP7361C.pdf
Regulator_Linear,AP130-35Y,AP130-35Y,"0.3A Low Dropout regulator, positive, 3.5V fixed output, SOT-89",Package_TO_SOT_SMD:SOT-89-3,https://www.diodes.com/assets/Datasheets/AP130.pdf
Regulator_Linear,AP1117-50,AP1117-50,"1A Low Dropout regulator, positive, 5.0V fixed output, SOT-223",Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://www.diodes.com/datasheets/AP1117.pdf
Regulator_Linear,AP7370-12FDC,AP7370-12FDC,"200mA Low-Dropout Linear Regulator, 1.2V fixed output, DFN-6",Package_DFN_QFN:DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm,https://www.diodes.com/assets/Datasheets/AP7370.pdf
Regulator_Linear,AP7381-70SA-7,AP7381-70SA-7,"150mA Low Dropout Voltage Regulator, Fixed Output 7.0V, Wide Input Voltage Range 40V, SOT-23",Package_TO_SOT_SMD:SOT-23,https://www.diodes.com/assets/Datasheets/AP7381.pdf
Reference_Voltage,LM385BZ-1.2,LM385BZ-1.2,"1.235V Micropower Voltage Reference Diodes, TO-92",Package_TO_SOT_THT:TO-92_Inline,http://www.onsemi.com/pub_link/Collateral/LM285-D.PDF
Reference_Voltage,LM329xZ,LM329xZ,"6.9V Precision Voltage Reference, TO-92",Package_TO_SOT_THT:TO-92_Inline,https://www.analog.com/media/en/technical-documentation/data-sheets/129329fd.pdf
Regulator_Linear,MCP1727-2502xSN,MCP1727-2502xSN,"1.5A, Low Voltage, Low Quiescent Current LDO Regulator, 2.3 - 6V Input, Fixed 2.5V Output, 330mV Dropout, SOIC-8",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://ww1.microchip.com/downloads/aemtest/APID/ProductDocuments/DataSheets/MCP1727-1.5A-Low-Voltage-Low-Quiescent-Current-LDO-Regulator-20001999D.pdf
Regulator_Linear,TLV70030_SOT353,TLV70030_SOT353,"200mA Low Dropout Voltage Regulator, Fixed Output 3V, SC70-5",Package_TO_SOT_SMD:SOT-353_SC-70-5,http://www.ti.com/lit/ds/symlink/tlv700.pdf
Regulator_Linear,TLV70212_SOT23-5,TLV70212_SOT23-5,"300mA Low Dropout Voltage Regulator, Fixed Output 1.2V, SOT-23-5",Package_TO_SOT_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/tlv702.pdf
Regulator_Linear,NDP6802SF-33,NDP6802SF-33,"Positive 100mA 85Vin Linear Regulator, Fixed Output 3.3V, SOT-89",Package_TO_SOT_SMD:SOT-89-3,https://www.lcsc.com/datasheet/lcsc_datasheet_2401051806_NDP-NDP6802SF-33_C20415512.pdf
Reference_Voltage,LM4132xMF-4.1,LM4132xMF-4.1,"Precision Low Dropout Voltage Reference, 4.096V, ±0.05% to ±0.5%, SOT-23-5",Package_TO_SOT_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/lm4132.pdf
Reference_Voltage,LM4128,LM4128,"2.5V ±0.2% Precision Micropower Low Dropout Voltage Reference, SOT-23-5",Package_TO_SOT_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/lm4128.pdf
Reference_Voltage,LM4125IM5-2.5,LM4125IM5-2.5,"2.5V ±0.5% Precision Micropower Low Dropout Voltage Reference, SOT-23-5",Package_TO_SOT_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/lm4125.pdf
Regulator_Linear,LM79M12_TO220,LM79M12_TO220,"Negative 500mA 35V Linear Regulator, Fixed Output 12V, TO-220",Package_TO_SOT_THT:TO-220-3_Vertical,https://www.onsemi.com/pub/Collateral/MC79M00-D.PDF
Regulator_Switching,LM2574N-12,LM2574N-12,"12V, 0.5A SIMPLE SWITCHER® Step-Down Voltage Regulator, DIP-8",Package_DIP:DIP-8_W7.62mm,http://www.national.com/ds/LM/LM2574.pdf
Converter_DCDC,OKI-78SR-3.3_1.5-W36H-C,OKI-78SR-3.3_1.5-W36H-C,"1.5A Step-Down DC/DC-Regulator, 7-36V input, 3.3V fixed Output Voltage, LM78xx replacement, -40°C to +85°C, OKI-78SR_Horizontal",Converter_DCDC:Converter_DCDC_Murata_OKI-78SR_Horizontal,https://power.murata.com/data/power/oki-78sr.pdf
